================ Training Loss (Fri Feb 27 14:48:04 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.636, data: 0.193) , G_GAN: 0.318, G_L1: 1.055, D_real: 0.437, D_fake: 0.423, G_FM: 7.222

[Rank 0] (epoch: 2, iters: 89, time: 0.615, data: 0.004) , G_GAN: 0.345, G_L1: 1.132, D_real: 0.276, D_fake: 0.301, G_FM: 7.408

[Rank 0] (epoch: 3, iters: 78, time: 0.610, data: 0.003) , G_GAN: 0.370, G_L1: 0.795, D_real: 0.306, D_fake: 0.251, G_FM: 5.225

[Rank 0] (epoch: 4, iters: 67, time: 1.327, data: 0.004) , G_GAN: 0.353, G_L1: 1.002, D_real: 0.263, D_fake: 0.240, G_FM: 5.803

[Rank 0] (epoch: 5, iters: 56, time: 0.599, data: 0.004) , G_GAN: 0.359, G_L1: 0.802, D_real: 0.288, D_fake: 0.224, G_FM: 5.970

[Rank 0] (epoch: 6, iters: 45, time: 0.598, data: 0.004) , G_GAN: 0.374, G_L1: 0.671, D_real: 0.299, D_fake: 0.198, G_FM: 5.232

[Rank 0] (epoch: 7, iters: 34, time: 0.599, data: 0.004) , G_GAN: 0.351, G_L1: 1.057, D_real: 0.161, D_fake: 0.235, G_FM: 7.631

[Rank 0] (epoch: 8, iters: 23, time: 1.391, data: 0.004) , G_GAN: 0.363, G_L1: 0.719, D_real: 0.212, D_fake: 0.209, G_FM: 6.382

[Rank 0] (epoch: 9, iters: 12, time: 0.599, data: 0.004) , G_GAN: 0.364, G_L1: 0.883, D_real: 0.206, D_fake: 0.220, G_FM: 5.546

[Rank 0] (epoch: 10, iters: 1, time: 0.395, data: 0.004) , G_GAN: 0.361, G_L1: 0.902, D_real: 0.171, D_fake: 0.232, G_FM: 5.671

[Rank 0] (epoch: 10, iters: 101, time: 0.599, data: 0.004) , G_GAN: 0.463, G_L1: 0.701, D_real: 0.234, D_fake: 0.138, G_FM: 4.934

[Rank 0] (epoch: 11, iters: 90, time: 1.312, data: 0.004) , G_GAN: 0.338, G_L1: 0.796, D_real: 0.176, D_fake: 0.248, G_FM: 4.997

[Rank 0] (epoch: 12, iters: 79, time: 0.604, data: 0.004) , G_GAN: 0.417, G_L1: 0.743, D_real: 0.146, D_fake: 0.211, G_FM: 6.111

[Rank 0] (epoch: 13, iters: 68, time: 0.616, data: 0.004) , G_GAN: 0.447, G_L1: 0.686, D_real: 0.134, D_fake: 0.160, G_FM: 4.871

[Rank 0] (epoch: 14, iters: 57, time: 0.621, data: 0.004) , G_GAN: 0.395, G_L1: 0.769, D_real: 0.234, D_fake: 0.236, G_FM: 7.841

[Rank 0] (epoch: 15, iters: 46, time: 1.527, data: 0.004) , G_GAN: 0.238, G_L1: 0.515, D_real: 0.212, D_fake: 0.373, G_FM: 4.872

[Rank 0] (epoch: 16, iters: 35, time: 0.602, data: 0.004) , G_GAN: 0.352, G_L1: 0.548, D_real: 0.231, D_fake: 0.206, G_FM: 4.910

[Rank 0] (epoch: 17, iters: 24, time: 0.638, data: 0.004) , G_GAN: 0.306, G_L1: 0.565, D_real: 0.158, D_fake: 0.281, G_FM: 5.889

[Rank 0] (epoch: 18, iters: 13, time: 0.603, data: 0.004) , G_GAN: 0.336, G_L1: 0.551, D_real: 0.188, D_fake: 0.241, G_FM: 5.071

[Rank 0] (epoch: 19, iters: 2, time: 1.331, data: 0.004) , G_GAN: 0.353, G_L1: 0.537, D_real: 0.155, D_fake: 0.222, G_FM: 5.756

[Rank 0] (epoch: 19, iters: 102, time: 0.599, data: 0.004) , G_GAN: 0.295, G_L1: 0.638, D_real: 0.224, D_fake: 0.265, G_FM: 4.448

[Rank 0] (epoch: 20, iters: 91, time: 0.648, data: 0.004) , G_GAN: 0.388, G_L1: 0.505, D_real: 0.195, D_fake: 0.173, G_FM: 5.135

[Rank 0] (epoch: 21, iters: 80, time: 0.653, data: 0.004) , G_GAN: 0.316, G_L1: 0.457, D_real: 0.182, D_fake: 0.258, G_FM: 4.356

[Rank 0] (epoch: 22, iters: 69, time: 1.362, data: 0.004) , G_GAN: 0.373, G_L1: 0.467, D_real: 0.208, D_fake: 0.188, G_FM: 5.053

[Rank 0] (epoch: 23, iters: 58, time: 0.598, data: 0.004) , G_GAN: 0.370, G_L1: 0.463, D_real: 0.199, D_fake: 0.191, G_FM: 4.743

[Rank 0] (epoch: 24, iters: 47, time: 0.598, data: 0.004) , G_GAN: 0.298, G_L1: 0.414, D_real: 0.177, D_fake: 0.261, G_FM: 4.543

[Rank 0] (epoch: 25, iters: 36, time: 0.598, data: 0.004) , G_GAN: 0.302, G_L1: 0.463, D_real: 0.183, D_fake: 0.311, G_FM: 4.829

[Rank 0] (epoch: 26, iters: 25, time: 1.375, data: 0.005) , G_GAN: 0.420, G_L1: 0.500, D_real: 0.200, D_fake: 0.158, G_FM: 5.477

[Rank 0] (epoch: 27, iters: 14, time: 0.596, data: 0.004) , G_GAN: 0.397, G_L1: 0.407, D_real: 0.202, D_fake: 0.169, G_FM: 4.774

[Rank 0] (epoch: 28, iters: 3, time: 0.605, data: 0.004) , G_GAN: 0.413, G_L1: 0.452, D_real: 0.175, D_fake: 0.164, G_FM: 4.881

[Rank 0] (epoch: 28, iters: 103, time: 0.599, data: 0.004) , G_GAN: 0.328, G_L1: 0.541, D_real: 0.185, D_fake: 0.234, G_FM: 4.669

[Rank 0] (epoch: 29, iters: 92, time: 1.343, data: 0.004) , G_GAN: 0.404, G_L1: 0.385, D_real: 0.262, D_fake: 0.154, G_FM: 4.619

[Rank 0] (epoch: 30, iters: 81, time: 0.600, data: 0.004) , G_GAN: 0.339, G_L1: 0.405, D_real: 0.198, D_fake: 0.225, G_FM: 4.741

[Rank 0] (epoch: 31, iters: 70, time: 0.601, data: 0.004) , G_GAN: 0.364, G_L1: 0.466, D_real: 0.215, D_fake: 0.196, G_FM: 5.497

[Rank 0] (epoch: 32, iters: 59, time: 0.601, data: 0.005) , G_GAN: 0.418, G_L1: 0.578, D_real: 0.204, D_fake: 0.186, G_FM: 5.430

[Rank 0] (epoch: 33, iters: 48, time: 1.369, data: 0.004) , G_GAN: 0.440, G_L1: 0.482, D_real: 0.259, D_fake: 0.129, G_FM: 5.392

[Rank 0] (epoch: 34, iters: 37, time: 0.603, data: 0.004) , G_GAN: 0.324, G_L1: 0.541, D_real: 0.166, D_fake: 0.256, G_FM: 5.271

[Rank 0] (epoch: 35, iters: 26, time: 0.663, data: 0.004) , G_GAN: 0.346, G_L1: 0.432, D_real: 0.164, D_fake: 0.222, G_FM: 5.181

[Rank 0] (epoch: 36, iters: 15, time: 0.600, data: 0.006) , G_GAN: 0.403, G_L1: 0.460, D_real: 0.177, D_fake: 0.246, G_FM: 5.168

[Rank 0] (epoch: 37, iters: 4, time: 1.417, data: 0.004) , G_GAN: 0.451, G_L1: 0.407, D_real: 0.183, D_fake: 0.142, G_FM: 5.396

[Rank 0] (epoch: 37, iters: 104, time: 0.602, data: 0.004) , G_GAN: 0.410, G_L1: 0.391, D_real: 0.236, D_fake: 0.157, G_FM: 4.573

[Rank 0] (epoch: 38, iters: 93, time: 0.598, data: 0.004) , G_GAN: 0.379, G_L1: 0.487, D_real: 0.172, D_fake: 0.240, G_FM: 4.699

[Rank 0] (epoch: 39, iters: 82, time: 0.625, data: 0.004) , G_GAN: 0.385, G_L1: 0.442, D_real: 0.166, D_fake: 0.217, G_FM: 4.823

[Rank 0] (epoch: 40, iters: 71, time: 1.350, data: 0.004) , G_GAN: 0.420, G_L1: 0.379, D_real: 0.157, D_fake: 0.153, G_FM: 5.270

[Rank 0] (epoch: 41, iters: 60, time: 0.612, data: 0.004) , G_GAN: 0.412, G_L1: 0.410, D_real: 0.188, D_fake: 0.153, G_FM: 5.210

[Rank 0] (epoch: 42, iters: 49, time: 0.644, data: 0.004) , G_GAN: 0.410, G_L1: 0.433, D_real: 0.206, D_fake: 0.153, G_FM: 5.044

[Rank 0] (epoch: 43, iters: 38, time: 0.598, data: 0.004) , G_GAN: 0.353, G_L1: 0.474, D_real: 0.184, D_fake: 0.223, G_FM: 4.860

[Rank 0] (epoch: 44, iters: 27, time: 1.367, data: 0.004) , G_GAN: 0.430, G_L1: 0.379, D_real: 0.162, D_fake: 0.167, G_FM: 5.224

[Rank 0] (epoch: 45, iters: 16, time: 0.598, data: 0.004) , G_GAN: 0.472, G_L1: 0.412, D_real: 0.242, D_fake: 0.123, G_FM: 5.202

[Rank 0] (epoch: 46, iters: 5, time: 0.639, data: 0.006) , G_GAN: 0.446, G_L1: 0.381, D_real: 0.189, D_fake: 0.189, G_FM: 4.692

[Rank 0] (epoch: 46, iters: 105, time: 0.619, data: 0.004) , G_GAN: 0.376, G_L1: 0.471, D_real: 0.165, D_fake: 0.221, G_FM: 5.038

[Rank 0] (epoch: 47, iters: 94, time: 1.376, data: 0.004) , G_GAN: 0.429, G_L1: 0.420, D_real: 0.192, D_fake: 0.145, G_FM: 5.358

[Rank 0] (epoch: 48, iters: 83, time: 0.599, data: 0.004) , G_GAN: 0.370, G_L1: 0.410, D_real: 0.207, D_fake: 0.208, G_FM: 4.845

[Rank 0] (epoch: 49, iters: 72, time: 0.601, data: 0.004) , G_GAN: 0.419, G_L1: 0.465, D_real: 0.204, D_fake: 0.211, G_FM: 6.272

[Rank 0] (epoch: 50, iters: 61, time: 0.599, data: 0.004) , G_GAN: 0.468, G_L1: 0.482, D_real: 0.202, D_fake: 0.139, G_FM: 5.081

[Rank 0] (epoch: 51, iters: 50, time: 1.353, data: 0.004) , G_GAN: 0.396, G_L1: 0.405, D_real: 0.171, D_fake: 0.211, G_FM: 5.359

[Rank 0] (epoch: 52, iters: 39, time: 0.599, data: 0.004) , G_GAN: 0.425, G_L1: 0.501, D_real: 0.168, D_fake: 0.186, G_FM: 5.164

[Rank 0] (epoch: 53, iters: 28, time: 0.614, data: 0.006) , G_GAN: 0.441, G_L1: 0.383, D_real: 0.157, D_fake: 0.194, G_FM: 5.046

[Rank 0] (epoch: 54, iters: 17, time: 0.614, data: 0.004) , G_GAN: 0.449, G_L1: 0.441, D_real: 0.186, D_fake: 0.143, G_FM: 4.861

[Rank 0] (epoch: 55, iters: 6, time: 1.386, data: 0.004) , G_GAN: 0.400, G_L1: 0.373, D_real: 0.174, D_fake: 0.168, G_FM: 5.397

[Rank 0] (epoch: 55, iters: 106, time: 0.596, data: 0.003) , G_GAN: 0.400, G_L1: 0.381, D_real: 0.190, D_fake: 0.167, G_FM: 5.423

[Rank 0] (epoch: 56, iters: 95, time: 0.599, data: 0.004) , G_GAN: 0.440, G_L1: 0.442, D_real: 0.218, D_fake: 0.150, G_FM: 4.922

[Rank 0] (epoch: 57, iters: 84, time: 0.598, data: 0.004) , G_GAN: 0.446, G_L1: 0.466, D_real: 0.166, D_fake: 0.196, G_FM: 5.129

[Rank 0] (epoch: 58, iters: 73, time: 1.349, data: 0.005) , G_GAN: 0.382, G_L1: 0.415, D_real: 0.191, D_fake: 0.195, G_FM: 5.397

[Rank 0] (epoch: 59, iters: 62, time: 0.608, data: 0.004) , G_GAN: 0.377, G_L1: 0.358, D_real: 0.168, D_fake: 0.194, G_FM: 4.875

